block_id	chrom	start_pos	end_pos	number_of_mutations	number_of_patients	mutation_distribution	region_names
block_321_14_106326813_106327740	14	106326788	106327764	114	14	4,7,5,12,3,15,2,4,15,4,11,15,5,12	chr14:mr34378:hyper:D
block_1003_18_60984530_60985219	18	60984505	60985243	41	12	3,1,3,8,1,7,1,3,7,4,1,2	chr18:mr22253:hypo:D
block_1824_3_187461782_187462688	3	187461757	187462712	13	7	1,4,2,1,3,1,1	chr3:mr60385:mix:U
block_323_14_107170015_107170145	14	107169990	107170169	6	6	1,1,1,1,1,1	chr14:mr34502:mix:U
block_322_14_106328318_106328965	14	106328293	106328989	14	6	1,3,1,1,6,2	chr14:mr34379:mix:U,chr14:mr34380:hyper:D
block_2772_11_102188574_102188830	11	102188549	102188854	10	5	3,1,3,1,2	chr11:mr35485:mix:U
block_398_16_10972322_10973320	16	10972297	10973344	11	5	4,1,3,1,2	chr16:mr5378:mix:U
block_3301_12_122461723_122462217	12	122461698	122462241	6	5	1,2,1,1,1	chr12:mr46132:mix:D
block_7885_6_31549666_31549937	6	31549641	31549961	5	5	1,1,1,1,1	chr6:mr15375:mix:U
block_3299_12_122458110_122459398	12	122458085	122459422	16	4	1,11,1,3	chr12:mr46132:mix:D
block_354_16_3786703_3786748	16	3786678	3786772	4	4	1,1,1,1	chr16:mr1444:mix:U
block_4585_9_37026313_37026731	9	37026288	37026755	4	4	1,1,1,1	chr9:mr11870:hyper:D
block_4584_9_37025141_37025565	9	37025116	37025589	4	3	2,1,1	chr9:mr11870:hyper:D
block_3300_12_122460875_122461209	12	122460850	122461233	3	3	1,1,1	chr12:mr46132:mix:D
block_230_14_96179973_96180147	14	96179948	96180171	6	3	2,3,1	chr14:mr29340:hyper:D
block_1828_3_187660881_187661267	3	187660856	187661291	9	3	6,1,2	chr3:mr60482:hyper:D
block_8234_6_170184804_170185063	6	170184779	170185087	3	3	1,1,1	chr6:mr57732:hypo:D
block_1557_3_60609105_60609493	3	60609080	60609517	2	2	1,1	chr3:mr23861:mix:U
block_5687_13_73678150_73678383	13	73678125	73678407	2	2	1,1	chr13:mr18364:mix:U
block_312_14_106068248_106069143	14	106068223	106069167	6	2	4,2	chr14:mr34291:hypo:D
block_7543_17_47240096_47240589	17	47240071	47240613	2	2	1,1	chr17:mr25048:hypo:D
block_9187_2_2734366_2734827	2	2734341	2734851	2	2	1,1	chr2:mr1468:hypo:D
block_6474_5_5652438_5652830	5	5652413	5652854	2	2	1,1	chr5:mr2650:hypo:D
block_9376_2_58687694_58687919	2	58687669	58687943	2	2	1,1	chr2:mr24641:hypo:D
block_8770_1_189921513_189921513	1	189921488	189921537	2	2	1,1	chr1:mr68995:mix:U
block_7316_20_61694753_61694931	20	61694728	61694955	2	2	1,1	chr20:mr29121:mix:U
block_7033_20_855847_856194	20	855822	856218	2	2	1,1	chr20:mr449:mix:U
block_310_14_106042683_106042826	14	106042658	106042850	3	2	1,2	chr14:mr34275:hyper:D
block_3800_8_114711079_114711422	8	114711054	114711446	2	2	1,1	chr8:mr40641:mix:U
block_3897_8_139674244_139674661	8	139674219	139674685	2	2	1,1	chr8:mr49864:mix:U
block_4849_9_131309573_131309802	9	131309548	131309826	2	2	1,1	chr9:mr42968:mix:U
block_7984_6_65829905_65829906	6	65829880	65829930	2	2	1,1	chr6:mr27352:mix:U
block_6312_19_40435066_40435151	19	40435041	40435175	2	2	1,1	chr19:mr18856:mix:U
block_309_14_106033382_106033460	14	106033357	106033484	2	2	1,1	chr14:mr34270:hyper:D
block_1192_15_59664518_59664603	15	59664493	59664627	2	2	1,1	chr15:mr16995:hyper:D
block_7343_17_3028779_3028876	17	3028754	3028900	2	2	1,1	chr17:mr1558:hypo:D
block_4560_9_28565426_28565505	9	28565401	28565529	2	2	1,1	chr9:mr8675:mix:U
block_4856_9_132473167_132473531	9	132473142	132473555	2	2	1,1	chr9:mr43593:hypo:D
block_6571_5_26032862_26032948	5	26032837	26032972	2	2	1,1	chr5:mr9447:hypo:D
block_123_14_69259207_69259235	14	69259182	69259259	2	2	1,1	chr14:mr17410:mix:U
block_7817_6_14118425_14118479	6	14118400	14118503	2	2	1,1	chr6:mr7195:mix:U
block_751_16_88284228_88284489	16	88284203	88284513	2	2	1,1	chr16:mr38661:mix:U
block_5076_7_29662244_29662379	7	29662219	29662403	2	2	1,1	chr7:mr10491:hypo:D
block_6599_5_30345845_30345845	5	30345820	30345869	2	2	1,1	chr5:mr10163:mix:U
block_4539_9_19169590_19169602	9	19169565	19169626	2	2	1,1	chr9:mr6323:mix:U
block_4738_9_101268364_101268788	9	101268339	101268812	2	2	1,1	chr9:mr30222:mix:U
block_9475_2_89131919_89132198	2	89131894	89132222	3	2	1,2	chr2:mr36286:mix:D
block_7240_20_50879573_50879841	20	50879548	50879865	2	2	1,1	chr20:mr23859:mix:U
block_2294_4_152620432_152620495	4	152620407	152620519	3	2	1,2	chr4:mr42216:mix:U
block_2970_12_7073727_7073996	12	7073702	7074020	2	2	1,1	chr12:mr3922:mix:U
block_9451_2_81421113_81421257	2	81421088	81421281	2	2	1,1	chr2:mr33372:hypo:D
block_487_16_30609152_30609152	16	30609127	30609176	2	2	1,1	chr16:mr16853:mix:U
block_7901_6_34512224_34512617	6	34512199	34512641	2	2	1,1	chr6:mr17013:mix:U
block_2388_4_182834062_182834083	4	182834037	182834107	2	2	1,1	chr4:mr50440:hypo:D
block_6647_5_45014797_45014830	5	45014772	45014854	2	2	1,1	chr5:mr15264:mix:U
block_9742_2_193406730_193407184	2	193406705	193407208	3	2	2,1	chr2:mr70424:hypo:D
block_215_14_94940430_94940549	14	94940405	94940573	2	2	1,1	chr14:mr28624:hyper:D
block_2049_4_40198984_40198993	4	40198959	40199017	2	2	1,1	chr4:mr13837:hyper:D
block_9749_2_198070965_198071080	2	198070940	198071104	2	2	1,1	chr2:mr71491:mix:U
block_7892_6_33120866_33120887	6	33120841	33120911	2	2	1,1	chr6:mr16136:hypo:U
block_4126_10_45489194_45489393	10	45489169	45489417	2	2	1,1	chr10:mr20112:hyper:D
block_2065_4_46510920_46511032	4	46510895	46511056	2	2	1,1	chr4:mr15785:mix:U
block_5192_7_57270494_57270992	7	57270469	57271016	2	2	1,1	chr7:mr22106:hypo:D
block_8254_1_2489175_2489274	1	2489150	2489298	2	2	1,1	chr1:mr761:hyper:D
block_463_16_27325898_27325914	16	27325873	27325938	2	2	1,1	chr16:mr14901:mix:U
block_7668_17_77141161_77141215	17	77141136	77141239	2	2	1,1	chr17:mr39828:mix:U
block_4708_9_94678490_94678846	9	94678465	94678870	2	2	1,1	chr9:mr26606:mix:D
block_2351_4_173298811_173298919	4	173298786	173298943	2	2	1,1	chr4:mr47819:hypo:D
