gene_name	gene_type	block_id	new_mr_sites	patients	isTAD	enhancers	patient_id	geneType_meanScore	num_of_patients	diffExp_pval	dmr_pval	median_scores	mean_scores
BCL2	TSS~gene~TSS~gene~gene~gene~gene~5dist~gene~gene~gene~gene~gene~gene~gene	block_66303_18_60983692_60986805~block_66303_18_60983692_60986805~block_66304_18_60988053_60988779~block_66293_18_60805228_60806533~block_66299_18_60874328_60874374~block_66298_18_60873246_60873498~block_66295_18_60827704_60829009~block_66305_18_61034975_61034975~block_66302_18_60967792_60967792~block_66301_18_60959744_60959744~block_66300_18_60876120_60876259~block_66297_18_60839471_60839483~block_66296_18_60830305_60830305~block_66294_18_60811577_60811577~block_66292_18_60794375_60794375	chr18:mr22253, chr18:mr22255~chr18:mr22253, chr18:mr22255~chr18:mr22255~nan~chr18:mr22187~chr18:mr22186~nan~nan~nan~nan~nan~nan~nan~chr18:mr22149~nan	13~13~11~3~2~2~2~1~1~1~1~1~1~1~1	1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0	enhancer~enhancer~nan~enhancer~enhancer~enhancer~enhancer~nan~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~nan	patient_0,patient_1,patient_2,patient_3,patient_4,patient_5,patient_7,patient_8,patient_9,patient_10,patient_11,patient_12,patient_13~patient_0,patient_1,patient_2,patient_3,patient_4,patient_5,patient_7,patient_8,patient_9,patient_10,patient_11,patient_12,patient_13~patient_0,patient_1,patient_2,patient_3,patient_4,patient_5,patient_8,patient_9,patient_10,patient_11,patient_12~patient_2,patient_3,patient_5~patient_3,patient_7~patient_3,patient_5~patient_4,patient_5~patient_2~patient_11~patient_7~patient_3~patient_3~patient_4~patient_13~patient_4	3.8	13	1.6611752467691826e-06	1.0	0.9282051282051282	0.7851385563927298
CTSO	5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~TSS~gene	block_27289_4_157474340_157474793~block_27266_4_157229913_157230304~block_27287_4_157468452_157468626~block_27297_4_157616079_157616079~block_27296_4_157607568_157607568~block_27295_4_157582655_157582655~block_27294_4_157566020_157566020~block_27293_4_157545317_157545317~block_27292_4_157541697_157541697~block_27291_4_157514457_157514457~block_27290_4_157512717_157512717~block_27288_4_157471006_157471006~block_27286_4_157452552_157452552~block_27285_4_157450955_157450955~block_27284_4_157442275_157442275~block_27283_4_157441549_157441549~block_27282_4_157413747_157413747~block_27281_4_157373292_157373292~block_27280_4_157372010_157372010~block_27265_4_157220586_157220586~block_27279_4_157364847_157364847~block_27278_4_157355223_157355223~block_27277_4_157352703_157352703~block_27276_4_157351564_157351564~block_27275_4_157345151_157345610~block_27274_4_157322371_157322371~block_27273_4_157316627_157316627~block_27272_4_157298928_157298928~block_27271_4_157266126_157266126~block_27270_4_157261443_157261443~block_27269_4_157260927_157260927~block_27268_4_157254626_157254626~block_27267_4_157245684_157245684~block_27264_4_157183819_157183819~block_27263_4_157180810_157180810~block_27262_4_157178477_157178477~block_27261_4_157175483_157175483~block_27260_4_157167154_157167154~block_27259_4_157149495_157149495~block_27258_4_157064746_157064746~block_27257_4_157054596_157054596~block_27256_4_156995297_156995297~block_27255_4_156987240_156987240~block_27254_4_156985750_156985750~block_27253_4_156976280_156976280~block_27252_4_156875678_156875929~block_27251_4_156872864_156872864	nan~nan~nan~chr4:mr43917~nan~nan~nan~nan~nan~nan~nan~chr4:mr43894~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~chr4:mr43844~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan	3~2~2~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1	1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0	enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~nan~enhancer	patient_2,patient_3,patient_6~patient_3,patient_11~patient_6,patient_9~patient_9~patient_2~patient_7~patient_3~patient_2~patient_2~patient_7~patient_10~patient_3~patient_10~patient_11~patient_10~patient_3~patient_12~patient_2~patient_13~patient_3~patient_12~patient_6~patient_5~patient_5~patient_9~patient_12~patient_9~patient_13~patient_2~patient_6~patient_5~patient_12~patient_13~patient_3~patient_8~patient_12~patient_11~patient_5~patient_3~patient_5~patient_3~patient_13~patient_5~patient_4~patient_10~patient_13~patient_3	3.042553191489361	12	5.482000347736354e-10	1.0	0.7635024549918167	0.7580668885860037
ODC1	TES~TES	block_12227_2_10576627_10576627~block_12228_2_10579782_10579782	chr2:mr5216~nan	1~1	1.0~1.0	enhancer~enhancer	patient_3~patient_8	3.0	2	8.899846410207127e-18	0.9999693255540028	0.8333179961103347	0.6858897672859365
EZR	5dist~5dist~5dist~5dist~5dist~5dist~5dist~TSS~gene~gene~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist	block_35816_6_159488669_159488669~block_35815_6_159437949_159437949~block_35814_6_159432487_159432487~block_35813_6_159390473_159390473~block_35812_6_159378757_159378757~block_35811_6_159339189_159339189~block_35810_6_159332076_159332076~block_35809_6_159238720_159238720~block_35809_6_159238720_159238720~block_35808_6_159237302_159237313~block_35817_6_159505848_159505848~block_35818_6_159534282_159534282~block_35819_6_159553414_159553414~block_35828_6_159997693_159997693~block_35827_6_159958497_159958497~block_35826_6_159935381_159935381~block_35825_6_159866225_159866225~block_35824_6_159858195_159858195~block_35823_6_159832974_159832974~block_35822_6_159823016_159823016~block_35821_6_159794467_159794467	chr6:mr52666~nan~nan~nan~nan~chr6:mr52584~nan~nan~nan~nan~nan~chr6:mr52688~nan~nan~nan~nan~nan~chr6:mr52843~nan~chr6:mr52824~nan	1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1	1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0	enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~nan~nan~nan~enhancer~enhancer~enhancer~enhancer~nan~nan~enhancer~enhancer~enhancer~enhancer~enhancer	patient_6~patient_1~patient_3~patient_3~patient_10~patient_3~patient_8~patient_3~patient_3~patient_10~patient_4~patient_3~patient_8~patient_3~patient_11~patient_7~patient_1~patient_12~patient_12~patient_10~patient_5	2.952380952380953	10	5.115898770011296e-08	0.9999999999997862	0.6715506715506716	0.6808111635198243
CDCA4	5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist	block_61069_14_106324309_106330111~block_61055_14_106112389_106114416~block_61064_14_106211828_106213823~block_61049_14_106067951_106069983~block_61067_14_106240052_106241976~block_61047_14_106042683_106043045~block_61063_14_106210642_106210934~block_61050_14_106071165_106071221~block_61062_14_106208649_106208869~block_61066_14_106239459_106239478~block_61068_14_106322630_106323782~block_61046_14_106033382_106033460~block_61045_14_106031542_106031555~block_61035_14_105589487_105589487~block_61061_14_106176672_106176807~block_61065_14_106214726_106214726~block_61060_14_106166176_106166176~block_61040_14_105982560_105982560~block_61059_14_106163538_106163538~block_61058_14_106161528_106161528~block_61057_14_106156758_106156758~block_61056_14_106151752_106151752~block_61054_14_106095333_106095333~block_61053_14_106094359_106094359~block_61052_14_106091459_106091459~block_61051_14_106072065_106072065~block_61048_14_106052434_106052434~block_61044_14_106010519_106010519~block_61043_14_106002873_106002873~block_61041_14_105990727_105990727	chr14:mr34378, chr14:mr34380~chr14:mr34312~chr14:mr34360~chr14:mr34291~nan~chr14:mr34275~nan~chr14:mr34292~chr14:mr34358~nan~nan~chr14:mr34270~nan~nan~nan~nan~nan~nan~chr14:mr34335~nan~nan~nan~chr14:mr34302~nan~nan~chr14:mr34292~chr14:mr34282~nan~nan~chr14:mr34254	14~8~7~6~4~3~3~2~2~2~2~2~2~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1	1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0	enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~nan~enhancer~nan	patient_0,patient_1,patient_2,patient_3,patient_4,patient_5,patient_6,patient_7,patient_8,patient_9,patient_10,patient_11,patient_12,patient_13~patient_0,patient_1,patient_2,patient_5,patient_8,patient_10,patient_11,patient_12~patient_0,patient_1,patient_2,patient_5,patient_6,patient_8,patient_12~patient_0,patient_3,patient_6,patient_7,patient_8,patient_10~patient_2,patient_3,patient_4,patient_8~patient_5,patient_10,patient_13~patient_0,patient_8,patient_11~patient_3,patient_10~patient_0,patient_8~patient_2,patient_4~patient_3,patient_8~patient_3,patient_5~patient_9,patient_10~patient_10~patient_2~patient_0~patient_5~patient_3~patient_5~patient_0~patient_3~patient_13~patient_3~patient_5~patient_12~patient_3~patient_5~patient_3~patient_3~patient_3	2.8666666666666667	14	0.0014038921813694714	1.0	0.8111111111111111	0.6801172776699713
MMP14	5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist	block_59155_14_23179851_23179851~block_59141_14_22307338_22307338~block_59154_14_23133648_23133648~block_59153_14_23006975_23006975~block_59152_14_22975968_22975968~block_59151_14_22972042_22972042~block_59150_14_22952707_22952707~block_59146_14_22676851_22676851~block_59145_14_22522988_22522988~block_59144_14_22513396_22513396~block_59143_14_22448741_22448741~block_59142_14_22334218_22334218	nan~nan~nan~chr14:mr1570~nan~nan~nan~nan~nan~nan~nan~nan	1~1~1~1~1~1~1~1~1~1~1~1	1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0	enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer	patient_9~patient_13~patient_2~patient_9~patient_4~patient_0~patient_1~patient_5~patient_6~patient_3~patient_5~patient_12	3.0	10	2.265207528537972e-07	1.0	0.6794871794871795	0.6745191293164149
BACH2	TSS~gene~gene~5dist~5dist~5dist~5dist~gene~5dist~5dist~5dist~TSS~gene~gene~gene~gene~gene~gene~gene~gene~gene	block_34313_6_91005497_91005874~block_34313_6_91005497_91005874~block_34302_6_90696500_90696500~block_34319_6_91140220_91140220~block_34321_6_91206173_91206173~block_34320_6_91193310_91193310~block_34318_6_91121436_91121436~block_34303_6_90772515_90772515~block_34317_6_91095599_91095599~block_34316_6_91051816_91051816~block_34315_6_91032005_91032005~block_34314_6_91008409_91008409~block_34312_6_91004667_91004721~block_34311_6_91003470_91003470~block_34310_6_91000864_91000864~block_34309_6_90962439_90962439~block_34308_6_90956607_90956607~block_34307_6_90920989_90920989~block_34306_6_90841358_90841358~block_34305_6_90834538_90834538~block_34304_6_90829328_90829330	chr6:mr32608~chr6:mr32608~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~chr6:mr32608~nan~chr6:mr32606~nan~nan~nan~nan~nan~nan	2~2~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1	1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0	enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~nan~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer	patient_6,patient_8~patient_6,patient_8~patient_0~patient_10~patient_5~patient_6~patient_7~patient_9~patient_3~patient_8~patient_9~patient_6~patient_3~patient_8~patient_3~patient_13~patient_3~patient_9~patient_9~patient_4~patient_5	3.6666666666666665	10	0.0030500647088192783	1.0	0.7905982905982906	0.6645102974936687
POU2AF1	TSS~5dist~gene	block_48151_11_111249438_111249566~block_48152_11_111257858_111257858~block_48150_11_111225973_111225973	nan~nan~chr11:mr38116	2~1~1	1.0~1.0~1.0	enhancer~enhancer~enhancer	patient_3,patient_11~patient_0~patient_8	3.6666666666666665	4	1.5605029867087626e-11	0.9305763397294196	0.7461609030962345	0.6634168441727799
BCL6	TSS~gene~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~TSS~5dist~gene~5dist~5dist~5dist~5dist~5dist~5dist	block_11749_3_187461782_187463283~block_11749_3_187461782_187463283~block_11760_3_187660881_187661267~block_11758_3_187658409_187658528~block_11759_3_187660046_187660128~block_11765_3_187805310_187805378~block_11763_3_187744007_187744007~block_11762_3_187701782_187701902~block_11761_3_187671780_187671780~block_11757_3_187657553_187657553~block_11756_3_187653642_187653642~block_11755_3_187636755_187636755~block_11754_3_187619420_187619420~block_11753_3_187542825_187542825~block_11752_3_187533383_187533409~block_11751_3_187485897_187485897~block_11750_3_187463817_187463940~block_11750_3_187463817_187463940~block_11748_3_187460839_187460839~block_11766_3_187806598_187806598~block_11764_3_187746298_187746298~block_11767_3_187816071_187816071~block_11768_3_187820353_187820353~block_11770_3_187847647_187847647~block_11769_3_187841499_187841499	nan~nan~chr3:mr60482~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan~nan	11~11~3~2~2~2~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1~1	1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0	enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~nan~nan~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer	patient_0,patient_2,patient_3,patient_5,patient_6,patient_7,patient_8,patient_10,patient_11,patient_12,patient_13~patient_0,patient_2,patient_3,patient_5,patient_6,patient_7,patient_8,patient_10,patient_11,patient_12,patient_13~patient_3,patient_4,patient_6~patient_0,patient_3~patient_3,patient_5~patient_3,patient_13~patient_5~patient_3~patient_13~patient_11~patient_3~patient_3~patient_3~patient_11~patient_0~patient_5~patient_5~patient_5~patient_5~patient_3~patient_0~patient_3~patient_4~patient_4~patient_10	3.08	12	0.0008121848629891273	1.0	0.7697435897435898	0.6632074356963321
FHL3	5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist~5dist	block_3010_1_39147351_39147354~block_3012_1_39191370_39191370~block_3011_1_39154206_39154206~block_3009_1_39077339_39077339~block_3008_1_39048837_39048837~block_3007_1_38865051_38865051~block_3006_1_38841204_38841204~block_3005_1_38673381_38673381~block_3004_1_38519542_38519542	nan~nan~nan~chr1:mr22020~nan~nan~nan~chr1:mr21821~nan	2~1~1~1~1~1~1~1~1	1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0~1.0	enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer~enhancer	patient_6,patient_9~patient_11~patient_11~patient_2~patient_3~patient_3~patient_6~patient_13~patient_8	3.0	7	3.619651332870575e-10	1.0	0.5916894647768511	0.661229347773041
